,nombre,precio,tipo,enlace,modelo,an,brand,prices.amountMax,prices.amountMin,prices.isSale
33,Nike Air Max Plus,160,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-max-plus-34sB8V/DM2362-001,air max,2021,nike,160.0,160.0,False
34,Nike Space Hippie 04,130,Calzado para mujer,https://www.nike.com/us/es/t/calzado-space-hippie-04-x1HFp5/CD3476-900,others,2021,nike,130.0,130.0,False
35,Nike Air Force 1 Crater,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-crater-1bdNb2/DH0927-100,others,2021,nike,110.0,110.0,False
36,Nike Air Max 97 LX,180,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-max-97-60-XHbPLv/DC4144-200,air max,2021,nike,180.0,180.0,False
37,Nike Air Max 97,180,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-max-97-l6Qltf/DM8943-700,air max,2021,nike,180.0,180.0,False
38,Nike Waffle One Crater SE,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-waffle-one-crater-se-pC5wbB/DJ9640-101,others,2021,nike,100.0,100.0,False
39,Nike Zoom Fly 4,160,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-en-carretera-zoom-fly-4-5VmBLp/CT2401-700,others,2021,nike,160.0,160.0,False
40,Nike Wildhorse 7,140,Calzado de trail running para mujer,https://www.nike.com/us/es/t/calzado-de-carreras-en-sendero-wildhorse-7-0FnFns/DM9470-700,others,2021,nike,140.0,140.0,False
41,Nike SuperRep Cycle,120,Calzado de ciclismo indoor para mujer,https://www.nike.com/us/es/t/calzado-de-ciclismo-indoor-superrep-cycle-tMMfR6/CJ0775-669,others,2021,nike,120.0,120.0,False
42,Nike Blazer Low '77,95,Calzado para mujer,https://www.nike.com/us/es/t/calzado-blazer-low-77-01lVDq/DM7186-011,others,2021,nike,95.0,95.0,False
43,Nike Aqua Rift,120,Calzado para mujer,https://www.nike.com/us/es/t/calzado-aqua-rift-CBT8N7/CW7164-100,others,2021,nike,120.0,120.0,False
44,Nike Court Legacy,55,Calzado sin cordones para mujer,https://www.nike.com/us/es/t/calzado-sin-agujetas-court-legacy-39kf7S/CW6540-100,court tennis,2021,nike,55.0,55.0,False
45,Nike Air Force 1 '07 Next Nature,95,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-07-next-nature-fvxZ0g/DC9486-100,others,2021,nike,95.0,95.0,False
46,Nike Air Zoom SuperRep 2,120,Calzado de entrenamiento de intervalos de alta densidad para mujer,https://www.nike.com/us/es/t/calzado-para-clases-hiit-air-zoom-superrep-2-l2XV7P/CU5925-177,others,2021,nike,120.0,120.0,False
47,Nike Blazer Mid '77 SE,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-blazer-mid-77-se-Rbpmqj/DH9633-101,others,2021,nike,110.0,110.0,False
48,Nike Blazer Mid '77,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-blazer-mid-77-q5ZglL/DM6176-393,others,2021,nike,110.0,110.0,False
49,Nike Air Max SC,80,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-max-sc-fHGGjR/DO2785-010,air max,2021,nike,80.0,80.0,False
50,Nike React Infinity Run Flyknit 2,160,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-en-carretera-react-infinity-run-flyknit-2-rfh6Z8/CT2423-009,others,2021,nike,160.0,160.0,False
51,Nike Air Force 1 '07,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-07-xZ2F3L/DM8077-001,others,2021,nike,100.0,100.0,False
