,an,brand,modelo,prices.amountMax,prices.amountMin,prices.isSale
8079,2018,nike,flex experience,65.0,48.75,False
8080,2018,nike,flex experience,65.0,59.99,False
8081,2018,nike,flex experience,65.0,48.75,False
8082,2018,nike,flex experience,65.0,59.99,False
8083,2018,nike,flex experience,65.0,54.99,False
8084,2018,nike,flex experience,65.0,48.75,False
8085,2018,nike,flex experience,65.0,59.99,False
8086,2018,nike,flex experience,65.0,65.0,False
8087,2018,nike,flex experience,65.0,48.75,False
8088,2018,nike,flex experience,65.0,54.99,False
8089,2018,nike,flex experience,65.0,65.0,False
8090,2018,nike,flex experience,65.0,48.75,False
8091,2018,nike,flex experience,65.0,48.75,False
8092,2018,nike,flex experience,65.0,59.99,False
8093,2018,nike,flex experience,65.0,48.75,False
8094,2018,nike,flex experience,65.0,48.75,False
8095,2018,nike,flex experience,65.0,65.0,False
8096,2018,nike,flex experience,65.0,48.75,False
8097,2018,nike,flex experience,65.0,48.75,False
8098,2018,nike,flex experience,65.0,65.0,False
8099,2018,nike,flex experience,65.0,65.0,False
8100,2018,nike,flex experience,65.0,45.5,False
8101,2018,nike,flex experience,65.0,48.75,False
8102,2018,nike,flex experience,65.0,65.0,False
8103,2018,nike,flex experience,65.0,54.99,False
8104,2018,nike,flex experience,65.0,65.0,False
8105,2018,nike,flex experience,65.0,48.75,False
8106,2018,nike,flex experience,65.0,54.99,False
8107,2018,nike,flex experience,65.0,48.75,False
8108,2018,nike,flex experience,65.0,59.99,False
8109,2018,nike,flex experience,65.0,59.99,False
8110,2018,nike,flex experience,65.0,54.99,False
8111,2018,nike,flex experience,65.0,65.0,False
8112,2018,nike,flex experience,65.0,54.99,False
8113,2018,nike,flex experience,65.0,54.99,False
8114,2018,nike,flex experience,65.0,48.75,False
8115,2018,nike,flex experience,65.0,65.0,False
8116,2018,nike,flex experience,65.0,59.99,False
8117,2018,nike,flex experience,65.0,48.75,False
8118,2018,nike,flex experience,65.0,59.99,False
8119,2018,nike,flex experience,65.0,65.0,False
8120,2018,nike,flex experience,65.0,48.75,False
8121,2018,nike,flex experience,65.0,54.99,False
8122,2018,nike,flex experience,65.0,54.99,False
8123,2018,nike,flex experience,65.0,48.75,False
8124,2018,nike,flex experience,65.0,48.75,False
8125,2018,nike,flex experience,65.0,48.75,False
8126,2018,nike,flex experience,65.0,48.75,False
8127,2018,nike,flex experience,65.0,48.75,False
8128,2018,nike,flex experience,65.0,48.75,False
8129,2018,nike,flex experience,65.0,48.75,False
8130,2018,nike,flex experience,65.0,65.0,False
8131,2018,nike,flex experience,65.0,48.75,False
8132,2018,nike,flex experience,65.0,65.0,False
8133,2018,nike,flex experience,65.0,54.99,False
8134,2018,nike,flex experience,65.0,59.99,False
8135,2018,nike,flex experience,65.0,65.0,False
8136,2018,nike,flex experience,65.0,48.75,False
8137,2018,nike,flex experience,65.0,54.99,False
8138,2018,nike,flex experience,65.0,54.99,False
8139,2018,nike,flex experience,65.0,48.75,False
8140,2018,nike,flex experience,65.0,59.99,False
8141,2018,nike,flex experience,65.0,48.75,False
8142,2018,nike,flex experience,65.0,54.99,False
8143,2018,nike,flex experience,65.0,59.99,False
8144,2018,nike,flex experience,65.0,48.75,False
8145,2018,nike,flex experience,65.0,48.75,False
8146,2018,nike,flex experience,65.0,48.75,False
8147,2018,nike,flex experience,65.0,54.99,False
8148,2018,nike,flex experience,65.0,48.75,False
8149,2018,nike,flex experience,65.0,48.75,False
8204,2018,nike,sb skate,65.0,65.0,False
8205,2018,nike,sb skate,70.0,42.0,False
8206,2018,nike,sb skate,70.0,70.0,False
8207,2018,nike,sb skate,65.0,54.99,False
8208,2018,nike,sb skate,65.0,59.99,False
8209,2018,nike,sb skate,65.0,59.99,False
8210,2018,nike,sb skate,65.0,65.0,False
8211,2018,nike,sb skate,65.0,59.99,False
8212,2018,nike,others,70.0,54.99,False
8213,2018,nike,others,70.0,52.5,False
8214,2018,nike,others,70.0,52.5,False
8215,2018,nike,others,70.0,54.99,False
8216,2018,nike,others,70.0,52.5,False
8217,2018,nike,others,70.0,70.0,False
8218,2018,nike,others,70.0,54.99,False
8219,2018,nike,others,70.0,54.99,False
8220,2018,nike,others,70.0,70.0,False
8221,2018,nike,others,70.0,54.99,False
8222,2018,nike,racing,80.0,56.0,False
8223,2018,nike,racing,80.0,56.0,False
8224,2018,nike,racing,80.0,64.99,False
8225,2018,nike,racing,80.0,64.99,False
8226,2018,nike,racing,80.0,80.0,False
8227,2018,nike,racing,80.0,56.0,False
8228,2018,nike,racing,80.0,80.0,False
8229,2018,nike,racing,80.0,80.0,False
